Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
-0.1875,-0.1875,0.1875,-0.05419922,0.01123047,0.9868164,0.09326172,-0.109375,-0.3081055
-0.1875,-0.1875,0.1875,-0.05419922,0.01123047,0.9868164,0.09326172,-0.109375,-0.3081055
-0.1875,-0.8125,0.6875,-0.04248047,0.003417969,0.9868164,0.1000977,-0.1142578,-0.3095703
-0.4375,-0.5,0.0625,-0.03857422,-0.003417969,0.9633789,0.1000977,-0.1142578,-0.3095703
-0.1875,-0.875,0.1875,-0.03466797,0.007324219,0.9790039,0.1000977,-0.1142578,-0.3095703
-0.8125,-0.0625,0.1875,-0.04248047,0.01513672,0.9594727,0.08837891,-0.112793,-0.3193359
-0.75,0.125,0.6875,-0.02685547,0.01513672,0.9672852,0.08837891,-0.112793,-0.3193359
-0.1875,-0.3125,0.125,-0.04248047,0.02685547,0.9672852,0.08837891,-0.112793,-0.3193359
-0.125,-0.375,0.375,-0.01123047,0.007324219,0.9711914,0.08984375,-0.105957,-0.3139648
0,-0.4375,-0.375,-0.01513672,-0.003417969,0.9829102,0.08984375,-0.105957,-0.3139648
-0.375,-0.1875,0,-0.03857422,0.01513672,0.9633789,0.08984375,-0.105957,-0.3139648
-0.4375,-0.3125,-0.5,-0.04248047,0.01904297,0.9672852,0.09667969,-0.1025391,-0.3081055
-0.5625,0.125,0,-0.04248047,0.02685547,0.9829102,0.09667969,-0.1025391,-0.3081055
-0.875,-0.25,0.0625,-0.06201172,0.007324219,0.9711914,0.09667969,-0.1025391,-0.3081055
-1.1875,-0.4375,0.1875,-0.03857422,0.01513672,0.9672852,0.09667969,-0.1025391,-0.3081055
-1.6875,-0.375,0.125,-0.03076172,0.007324219,0.9750977,0.09667969,-0.1025391,-0.3081055
-1,-0.5625,0.0625,-0.03076172,0.003417969,0.9750977,0.09667969,-0.1025391,-0.3081055
-1.375,-0.6875,0,-0.04248047,0.02685547,0.9594727,0.09667969,-0.1025391,-0.3081055
-1.0625,-0.6875,0.5,-0.01904297,0,0.9594727,0.09082031,-0.112793,-0.3110352
-0.8125,-0.3125,0.1875,-0.02685547,-0.003417969,0.9829102,0.09082031,-0.112793,-0.3110352
-1.4375,-0.0625,1.25,-0.03857422,0.01513672,0.9829102,0.09082031,-0.112793,-0.3110352
-0.9375,-0.5,0.1875,-0.05029297,0.01123047,0.9594727,0.08837891,-0.1069336,-0.3095703
-1.3125,-0.3125,0.75,-0.05419922,-0.007324219,0.9829102,0.08837891,-0.1069336,-0.3095703
-1.375,-0.25,0.875,-0.01513672,0.007324219,0.9829102,0.08837891,-0.1069336,-0.3095703
-1.75,-0.3125,0.9375,-0.03466797,0.01123047,0.9672852,0.08837891,-0.1069336,-0.3095703
-1.875,-0.4375,1.4375,-0.05029297,-0.003417969,0.9829102,0.08837891,-0.1069336,-0.3095703
-2.0625,-0.75,1.375,-0.02685547,0.007324219,0.9829102,0.08837891,-0.1069336,-0.3095703
-2.3125,-0.5,1.375,-0.04248047,0.01513672,0.9672852,0.08837891,-0.1069336,-0.3095703
-2.5,-0.4375,1.6875,-0.03857422,0.01513672,0.9672852,0.08398438,-0.1118164,-0.3027344
-2.5625,0.0625,1.9375,-0.05419922,-0.003417969,0.9750977,0.08398438,-0.1118164,-0.3027344
-2.75,-0.3125,1.875,-0.02685547,0.003417969,0.9672852,0.08398438,-0.1118164,-0.3027344
-1.75,1.0625,1.75,-0.03466797,-0.003417969,0.9516602,0.09326172,-0.105957,-0.3139648
-1.875,0.8125,1.9375,-0.03466797,0.007324219,0.9711914,0.09326172,-0.105957,-0.3139648
-1.625,0.25,1.3125,-0.06591797,0.03076172,0.9516602,0.09326172,-0.105957,-0.3139648
