Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
-0.0625,-0.25,-0.0625,-0.01513672,0.03076172,0.9711914,0.02685547,0.02587891,-0.3237305
-0.0625,-0.25,-0.0625,-0.01513672,0.03076172,0.9711914,0.02685547,0.02587891,-0.3237305
-0.0625,0.0625,0,-0.04638672,0.02685547,0.9672852,0.03857422,0.02587891,-0.3222656
-0.375,-0.25,-0.375,-0.04638672,0.02294922,0.9790039,0.03857422,0.02587891,-0.3222656
-0.0625,0.5625,0.0625,-0.05029297,0.04248047,0.9711914,0.03857422,0.02587891,-0.3222656
-0.125,-0.125,-0.1875,-0.03857422,0.02685547,0.9829102,0.03613281,0.02148438,-0.3110352
0.125,0.5,-0.0625,-0.04638672,0.03466797,0.9672852,0.03613281,0.02148438,-0.3110352
0.125,0.5,-0.375,-0.05419922,0.03466797,0.9555664,0.03613281,0.02148438,-0.3110352
0.1875,-0.875,-0.3125,-0.03466797,0.04638672,0.9672852,0.03125,0.02587891,-0.3251953
0,0.625,-0.1875,-0.03857422,0.04638672,0.9672852,0.03125,0.02587891,-0.3251953
0.0625,0.6875,-0.6875,-0.03466797,0.02294922,0.9829102,0.03125,0.02587891,-0.3251953
0.3125,-0.125,0,-0.04638672,0.01513672,0.9633789,0.03125,0.02587891,-0.3251953
0,0.3125,-0.1875,-0.05029297,0.01513672,0.9750977,0.03125,0.02587891,-0.3251953
0.3125,-0.125,-0.875,-0.04248047,0.01123047,0.9672852,0.03125,0.02587891,-0.3251953
-0.0625,-0.6875,-0.375,-0.01904297,0.02685547,0.9829102,0.03125,0.02587891,-0.3251953
-0.125,0.0625,-0.125,-0.02294922,0.04248047,0.9633789,0.03271484,0.03173828,-0.3139648
0.125,-0.5,-0.375,-0.05029297,0.02685547,0.9477539,0.03271484,0.03173828,-0.3139648
0.125,-0.1875,-0.5625,-0.04248047,0.01904297,0.9790039,0.03271484,0.03173828,-0.3139648
-1.0625,-1.1875,-0.0625,-0.02294922,0.01513672,0.9750977,0.03369141,0.02001953,-0.3178711
-0.6875,-1.5,-0.125,-0.04638672,0.04248047,0.9594727,0.03369141,0.02001953,-0.3178711
-0.4375,-0.6875,0.125,-0.05810547,0.03466797,0.9243164,0.03369141,0.02001953,-0.3178711
-1.1875,-0.6875,-0.3125,-0.04638672,0.007324219,0.9868164,0.03369141,0.02001953,-0.3178711
-0.0625,0,-0.25,-0.01123047,0.02685547,0.9477539,0.03369141,0.02001953,-0.3178711
-0.5625,-0.6875,0.1875,-0.03857422,0.03466797,0.9868164,0.03369141,0.02001953,-0.3178711
0,-0.5625,-0.3125,-0.03857422,0.01513672,0.9360352,0.03369141,0.02001953,-0.3178711
0.0625,0.0625,0,-0.01513672,0.02685547,0.9711914,0.02539063,0.02832031,-0.3222656
0.25,-0.625,-0.1875,-0.03076172,0.04248047,0.9633789,0.02539063,0.02832031,-0.3222656
-0.3125,0.6875,-0.25,-0.03076172,0.01513672,0.9829102,0.02539063,0.02832031,-0.3222656
0.125,0.125,0,-0.03466797,0.007324219,0.9829102,0.03125,0.02490234,-0.3266602
-0.25,0,-0.4375,-0.03857422,0.02685547,0.9711914,0.03125,0.02490234,-0.3266602
0.6875,0.0625,-0.1875,-0.05029297,0.01513672,0.9711914,0.03125,0.02490234,-0.3266602
-0.3125,-0.0625,0,-0.03466797,0.03076172,0.9868164,0.02441406,0.02734375,-0.3208008
0.3125,0.375,-0.25,-0.04638672,0.03076172,0.9672852,0.02441406,0.02734375,-0.3208008
-0.125,-0.375,-0.25,-0.03466797,0.04248047,0.9829102,0.02441406,0.02734375,-0.3208008
0,0.0625,-0.125,-0.05029297,0.02685547,0.9633789,0.02441406,0.02734375,-0.3208008
-0.25,-0.125,-0.1875,-0.02685547,0.02685547,0.9829102,0.02783203,0.02001953,-0.3168945
-0.125,-0.25,0,-0.03466797,0.01513672,0.9672852,0.02783203,0.02001953,-0.3168945
-0.3125,0,0.125,-0.05029297,0.01904297,0.9829102,0.02783203,0.02001953,-0.3168945
0.3125,0.1875,-0.375,-0.04638672,0.03076172,0.9711914,0.03466797,0.02929688,-0.3222656
0.5,0,0,-0.02685547,0.02294922,0.9633789,0.03466797,0.02929688,-0.3222656
-0.3125,-0.125,0,-0.03076172,0.02685547,0.9829102,0.03466797,0.02929688,-0.3222656
0.0625,0.1875,-0.3125,-0.03857422,0.03466797,0.9672852,0.03710938,0.02246094,-0.3125
0.1875,-0.5,-0.0625,-0.03857422,0.05029297,0.9672852,0.03710938,0.02246094,-0.3125
1.0625,-0.25,-0.4375,-0.03076172,0.02294922,0.9829102,0.03710938,0.02246094,-0.3125
0.1875,0,-0.6875,-0.03466797,0.02685547,0.9829102,0.03710938,0.02246094,-0.3125
0.25,-0.25,-0.25,-0.04248047,0.03466797,0.9790039,0.03710938,0.02246094,-0.3125
0.1875,-0.1875,0,-0.03466797,0.02685547,0.9594727,0.03710938,0.02246094,-0.3125
0.0625,0.375,-0.375,-0.03076172,0.04248047,0.9868164,0.03710938,0.02246094,-0.3125
-0.0625,-0.6875,-0.5,-0.03857422,0.03076172,0.9594727,0.03125,0.02246094,-0.3237305
0.375,-0.3125,-0.6875,-0.03076172,0.03466797,0.9711914,0.03125,0.02246094,-0.3237305
0.5,-0.75,-0.125,-0.02294922,0.03466797,0.9829102,0.03125,0.02246094,-0.3237305
-0.125,-0.375,-0.125,-0.03466797,0.01513672,0.9438477,0.02539063,0.0234375,-0.3193359
-0.3125,0,-0.8125,-0.03857422,0.02685547,0.9829102,0.02539063,0.0234375,-0.3193359
0.125,0,-0.4375,-0.03466797,0.03466797,0.9750977,0.02539063,0.0234375,-0.3193359
0.625,-0.6875,-1.1875,-0.03857422,0.03857422,0.9594727,0.02539063,0.0234375,-0.3193359
-0.375,-0.25,-0.5,-0.04248047,0.01513672,0.9672852,0.02539063,0.0234375,-0.3193359
0.4375,-0.5625,-0.5625,-0.04248047,0.04248047,0.9360352,0.02539063,0.0234375,-0.3193359
0.75,-0.9375,-0.5625,-0.03466797,0.04638672,0.9790039,0.02539063,0.0234375,-0.3193359
0.75,-0.4375,-0.1875,-0.007324219,0.01513672,0.9829102,0.03125,0.02587891,-0.3208008
0.5,-0.125,-0.4375,-0.03466797,0.03076172,0.9829102,0.03125,0.02587891,-0.3208008
1.625,-0.5625,-0.125,-0.01904297,0.02294922,0.9946289,0.03125,0.02587891,-0.3208008
0.5625,-0.125,-0.75,-0.04248047,0.03076172,1.001953,0.02539063,0.02246094,-0.3208008
-0.625,1,-0.3125,-0.05419922,0.01123047,0.9594727,0.02539063,0.02246094,-0.3208008
1.6875,1.1875,-0.5625,-0.03857422,0.04638672,0.9946289,0.02539063,0.02246094,-0.3208008
1.875,-1.4375,-0.875,-0.03076172,0.04248047,0.9868164,0.02685547,0.02929688,-0.3154297
-1.25,0.4375,-0.3125,-0.04638672,0.01123047,0.9711914,0.02685547,0.02929688,-0.3154297
1.125,1.625,0.5625,-0.03857422,0.03076172,0.9672852,0.02685547,0.02929688,-0.3154297
0.875,-2.5,-0.4375,-0.03466797,0.02685547,0.9594727,0.02685547,0.02929688,-0.3154297
-2.0625,1,0,-0.01904297,0.02685547,0.9243164,0.02783203,0.02734375,-0.3334961
1.4375,0.0625,-0.5,-0.05029297,0.01513672,0.9594727,0.02783203,0.02734375,-0.3334961
-0.5,-0.1875,0,-0.02685547,0.01123047,0.9868164,0.02783203,0.02734375,-0.3334961
-0.0625,-0.375,-0.4375,-0.04248047,0.01123047,0.9829102,0.03613281,0.02929688,-0.3154297
0,-0.25,0.0625,-0.05029297,0.02294922,0.9907227,0.03613281,0.02929688,-0.3154297
0.1875,-0.8125,-0.5625,-0.03466797,0.02685547,0.9907227,0.03613281,0.02929688,-0.3154297
0.0625,-0.5,0.0625,-0.01513672,0.01513672,0.9711914,0.03466797,0.02832031,-0.3193359
-0.25,-0.5625,-0.1875,-0.02685547,0.03466797,0.9829102,0.03466797,0.02832031,-0.3193359
0,-0.6875,-0.3125,-0.03857422,0.03466797,0.9868164,0.03466797,0.02832031,-0.3193359
0.0625,-0.625,0,-0.03857422,0.01904297,0.9829102,0.03466797,0.02832031,-0.3193359
0.5,-1,-0.375,-0.05029297,0,0.9790039,0.03857422,0.02490234,-0.3208008
0,0,-0.25,-0.05419922,0.01513672,0.9672852,0.03857422,0.02490234,-0.3208008
0,0,-0.1875,-0.03466797,0.03466797,0.9477539,0.03857422,0.02490234,-0.3208008
0.625,0.0625,-0.125,-0.03466797,0.03076172,0.9672852,0.03613281,0.0234375,-0.3154297
0.625,0.1875,-0.4375,-0.01123047,0.02294922,0.9633789,0.03613281,0.0234375,-0.3154297
0.4375,-0.125,-0.8125,-0.03466797,0.01513672,0.9672852,0.03613281,0.0234375,-0.3154297
0.625,0,-0.375,-0.04248047,0.03857422,0.9711914,0.0234375,0.02490234,-0.3168945
0.875,0.4375,-0.3125,-0.04248047,0.01513672,0.9711914,0.0234375,0.02490234,-0.3168945
0.5,0.1875,-0.125,-0.02685547,0.01513672,0.9477539,0.0234375,0.02490234,-0.3168945
0.8125,0.9375,-0.6875,-0.03466797,0.03076172,0.9633789,0.0234375,0.02490234,-0.3168945
0.9375,1,-0.1875,-0.02294922,0.02685547,0.9438477,0.03271484,0.02734375,-0.3208008
0.5625,0.9375,-0.9375,-0.06201172,0.02685547,0.9829102,0.03271484,0.02734375,-0.3208008
0.9375,0.5,-0.4375,-0.04248047,0.03076172,0.9672852,0.03271484,0.02734375,-0.3208008
0.6875,0.5625,-1.0625,-0.04248047,0.02685547,0.9555664,0.03027344,0.02490234,-0.3208008
0.9375,0,-0.9375,-0.04248047,0.04248047,0.9750977,0.03027344,0.02490234,-0.3208008
0.8125,1.125,-0.6875,-0.04248047,0.03076172,0.9711914,0.03027344,0.02490234,-0.3208008
0.875,1.0625,-0.625,-0.01513672,0.03076172,0.9321289,0.03271484,0.02929688,-0.3154297
1.1875,0.5625,-0.8125,-0.04638672,0.04248047,0.9594727,0.03271484,0.02929688,-0.3154297
1.25,0.3125,-0.4375,-0.05810547,0.05029297,0.9907227,0.03271484,0.02929688,-0.3154297
1.1875,0.8125,-0.375,-0.03857422,0.04248047,0.9672852,0.03271484,0.02929688,-0.3154297
1.6875,1.3125,-0.4375,-0.04248047,0.03076172,0.9555664,0.03271484,0.02929688,-0.3154297
1.375,1.1875,-1.125,-0.04248047,0.01513672,0.9594727,0.03271484,0.02929688,-0.3154297
1.3125,0.5,-1.1875,-0.03466797,0.01904297,0.9711914,0.03271484,0.02929688,-0.3154297
1.25,0.6875,-1.125,-0.05810547,0.02685547,0.9477539,0.02685547,0.02246094,-0.3168945
0.25,0.5,-0.125,-0.05419922,0.01904297,0.9633789,0.02685547,0.02246094,-0.3168945
1.0625,0.5,-0.75,-0.05029297,0.04248047,0.9829102,0.02685547,0.02246094,-0.3168945
0.875,0.0625,-0.5,-0.06591797,0.04248047,0.9594727,0.02539063,0.0234375,-0.3178711
1,0.8125,-0.25,-0.06982422,0.03076172,0.9946289,0.02539063,0.0234375,-0.3178711
0.75,0.1875,-0.3125,-0.03857422,0.01513672,0.9868164,0.02539063,0.0234375,-0.3178711
0.5625,0,-0.625,-0.02685547,0.02685547,0.9594727,0.02539063,0.0234375,-0.3178711
0.9375,0.4375,-0.125,-0.03857422,0.03857422,0.9829102,0.02539063,0.0234375,-0.3178711
0.875,0.3125,0.0625,-0.03076172,0.02294922,0.9829102,0.02539063,0.0234375,-0.3178711
0.625,0.25,-0.3125,-0.03466797,0.01513672,0.9711914,0.02539063,0.0234375,-0.3178711
1,0.0625,-0.1875,-0.03076172,0.02685547,0.9907227,0.02441406,0.02490234,-0.3081055
0.875,0.0625,-0.625,-0.04248047,0.03076172,0.9672852,0.02441406,0.02490234,-0.3081055
0.5625,-0.0625,-0.3125,-0.02294922,0.01513672,0.9672852,0.02441406,0.02490234,-0.3081055
1,0.25,0,-0.03857422,0.01513672,0.9594727,0.03271484,0.02734375,-0.3193359
0.5625,0.0625,0,-0.03076172,0.03857422,0.9907227,0.03271484,0.02734375,-0.3193359
0.5625,0.3125,-0.5,-0.03076172,0.03076172,0.9516602,0.03271484,0.02734375,-0.3193359
1.0625,0.4375,0,-0.03076172,0.03857422,0.9907227,0.03466797,0.03173828,-0.3168945
0.6875,0.625,-0.4375,-0.03076172,0.03857422,0.9516602,0.03466797,0.03173828,-0.3168945
0.4375,0.4375,0,-0.05029297,0.007324219,0.9829102,0.03466797,0.03173828,-0.3168945
0.5625,1,-0.25,-0.04638672,0.02294922,0.9868164,0.03466797,0.03173828,-0.3168945
0.75,0.3125,-0.8125,-0.05029297,0.01513672,0.9711914,0.03027344,0.02734375,-0.3208008
0.75,0.6875,-0.4375,-0.04248047,0.01513672,0.9555664,0.03027344,0.02734375,-0.3208008
0.5625,0.375,-0.25,-0.04638672,0.01513672,0.9868164,0.03027344,0.02734375,-0.3208008
0.75,0,-0.125,-0.04248047,0.04638672,0.9633789,0.02685547,0.0234375,-0.3168945
0.6875,0.0625,-0.5625,-0.04248047,0.03076172,0.9907227,0.02685547,0.0234375,-0.3168945
0.625,0.1875,-0.4375,-0.04248047,0.02294922,0.9750977,0.02685547,0.0234375,-0.3168945
0.875,0.1875,0,-0.04248047,0.01904297,0.9711914,0.03613281,0.02832031,-0.3193359
0.75,-0.1875,0.4375,-0.04638672,0.02685547,0.9711914,0.03613281,0.02832031,-0.3193359
0.875,-0.1875,0.1875,-0.04248047,0.02294922,0.9633789,0.03613281,0.02832031,-0.3193359
0.3125,-0.25,0.5625,-0.04248047,0.01513672,0.9711914,0.03613281,0.02832031,-0.3193359
0.625,-0.125,0.0625,-0.04248047,0.03857422,0.9594727,0.03613281,0.02832031,-0.3193359
